
length	num
8	1
9	2
8	5
7	5
9	8
8	2
12	2
11	2
8	6
9	4
8	2
14	1
8	1
15	1
7	5
10	2
8	6
8	5
7	3
9	3
8	1
9	1
13	1
9	2
14	1
8	4
7	7
9	1
8	6
11	1
8	1
9	7
9	1
8	3
33	9
8	1
26	1
8	1
7	6
9	1
9	1
8	5
7	2
12	3
7	2
9	2
9	1
8	7
8	2
21	2
9	1
10	3
14	1
9	2
8	8
8	4
9	1
9	7
9	3
9	1
25	3
7	7
8	1
9	2
18	1
9	5
9	2
8	7
10	1
8	6
8	5
8	8
8	2
8	2
9	1
10	1
8	1
10	2
8	3
8	1
9	1
9	1
9	2
7	5
7	4
8	6
8	2
12	1
8	1
8	5
8	5
7	7
7	2
8	3
8	4
7	4
13	1
7	6
9	1
11	2
8	1
7	3
8	9
9	4
8	3
10	2
18	1
9	6
9	1
9	2
8	3
15	1
8	5
7	3
9	6
9	2
7	2
9	3
15	1
8	3
9	1
9	1
7	2
7	5
10	2
10	1
7	7
8	7
8	4
9	3
7	28
8	6
7	2
8	1
8	6
8	3
8	1
11	2
9	1
8	1
11	3
9	1
8	5
7	4
7	2
9	1
8	4
10	1
8	2
9	3
9	2
9	1
14	1
9	4
9	1
7	6
9	1
10	1
7	5
12	1
9	5
8	3
8	5
11	2
8	4
8	2
9	2
8	5
10	1
7	5
14	4
8	1
8	4
8	6
10	1
8	6
8	3
8	1
11	1
8	1
15	1
7	19
9	1
8	6
9	1
8	6
9	2
8	8
9	1
9	6
8	3
8	8
19	3
8	6
8	1
9	1
13	1
9	3
8	9
9	1
9	3
8	4
9	1
8	7
8	4
9	1
8	1
8	1
7	4
8	2
8	2
8	3
9	3
9	1
7	3
8	7
9	5
7	4
14	5
8	2
8	4
9	3
7	4
8	7
9	1
7	1
12	1
8	9
9	1
8	6
8	1
8	1
7	5
8	2
9	1
7	1
8	5
11	1
8	4
9	5
8	8
9	1
8	1
7	6
12	4
7	2
7	5
9	1
8	1
13	1
8	4
10	1
9	1
8	1
9	8
8	1
9	2
8	5
7	5
7	5
9	2
8	9
11	2
9	1
8	5
8	7
17	4
10	1
12	1
8	10
9	1
9	3
10	2
8	6
9	1
8	1
8	3
8	6
10	1
8	8
13	2
7	3
9	2
16	1
8	1
8	10
10	2
11	2
8	1
9	1
8	3
14	5
8	1
9	2
8	6
13	3
7	1
10	2
15	5
8	6
9	1
8	1
8	8
9	1
9	2
7	2
8	3
8	14
9	1
19	5
10	1
9	10
8	1
9	5
29	3
20	1
8	4
8	4
7	7
7	2
8	6
9	1
10	1
7	1
9	1
8	1
12	3
9	1
9	3
8	1
9	3
7	2
9	1
8	4
9	1
9	3
13	1
8	3
10	1
7	4
8	3
23	3
10	1
9	3
9	6
9	1
7	4
8	3
10	7
9	6
7	5
8	3
9	1
9	3
14	1
9	1
9	4
8	1
13	1
7	5
8	6
10	1
9	1
10	4
9	1
8	5
8	6
7	5
10	1
9	4
20	1
19	3
10	1
7	6
7	15
8	3
9	1
9	2
13	2
8	1
10	1
9	2
10	3
9	3
28	8
7	3
8	5
25	4
9	8
9	1
7	4
8	8
8	4
8	8
7	17
9	1
8	6
20	1
8	7
9	1
8	4
7	4
8	1
8	9
8	6
8	3
8	4
8	5
11	4
8	3
8	1
8	1
8	6
8	9
25	5
9	1
8	2
8	2
8	5
7	25
8	5
11	2
8	2
8	4
7	2
8	1
9	1
14	2
29	1
8	1
8	1
8	2
8	1
8	3
9	2
7	2
9	1
8	2
11	1
9	2
8	2
10	1
9	1
8	3
8	4
9	5
8	5
7	4
8	2
9	3
10	1
9	4
9	1
8	2
11	2
9	2
7	2
8	3
7	5
9	3
8	4
8	2
7	4
8	4
8	5
8	4
8	2
8	1
9	2
7	3
8	1
8	7
10	2
7	16
7	1
8	7
9	1
8	2
10	1
9	3
8	5
8	6
8	4
7	5
8	6
7	4
7	6
9	2
8	5
7	21
8	4
17	1
9	1
8	5
8	1
8	2
14	1
9	5
10	6
10	3
8	1
8	2
10	1
16	6
10	4
10	3
7	4
7	2
8	5
10	1
7	3
8	5
8	7
8	1
8	2
8	5
14	4
8	2
8	2
7	4
8	4
9	2
10	1
9	2
8	1
8	5
9	2
10	1
8	4
9	1
7	5
8	1
10	1
7	7
9	1
11	4
9	1
7	16
7	4
10	5
8	5
8	8
8	5
8	3
7	9
7	18
7	3
10	2
13	1
10	1
8	6
8	2
9	1
19	1
8	7
12	5
8	1
8	1
8	7
32	1
7	5
9	1
9	4
13	7
7	1
8	5
7	2
9	1
8	7
7	4
7	2
8	1
8	1
7	3
10	1
10	1
11	5
8	1
7	2
8	6
8	1
8	2
7	3
10	1
8	4
8	1
7	4
9	3
7	4
9	3
9	6
13	1
8	1
7	5
18	1
8	1
11	1
8	2
8	2
8	1
8	2
8	4
8	1
8	7
8	7
